family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,beam,power_kw,sigma_x_mm
injection_electrons,0,0.0,100031,100031,100031,100031,1.0,1.0,2.999595518965177,4.213144198953447,10.660360791301612,153.02625041767297,255.3932763234459,13.704017151197606,46.2536946931385,injection,100,3
injection_electrons,0,0.0,100031,100031,100031,100031,1.0,1.0,3.9994606919535824,4.971146530261057,11.194041647497125,125.18027942558506,179.88877775491443,14.902575619502771,44.83703101552081,injection,100,4
injection_electrons,0,0.0,100031,100031,100031,100031,1.0,1.0,4.999325864941988,5.802970484204038,10.091706322210058,73.90587027247793,101.86134280580971,14.411975641209922,42.5438336614278,injection,100,5
injection_electrons,0,0.0,100031,100031,100031,100031,1.0,1.0,5.999191037930394,6.681205837325325,8.655899216045679,29.555942846252425,44.2844403740108,13.532726534933182,37.9574608502436,injection,100,6
injection_electrons,0,0.0,100031,100031,100031,100031,1.0,1.0,6.9990562109187975,7.589418857080066,7.3161966780692955,-3.6000408483962465,4.531189028825722,12.623942333089428,34.8004191766234,injection,100,7
injection_electrons,0,0.0,100031,100031,100031,100031,1.0,1.0,7.998921383907205,8.518306589113498,6.260521868646458,-26.50508873855888,-21.732924125972563,11.786169260181762,32.010489253453095,injection,100,8
injection_electrons,0,0.0,100031,100031,100031,100031,1.0,1.0,8.99878655689561,9.461525921244048,5.607544127668608,-40.73319489536102,-37.685552466275055,11.036561055320705,29.1247225282497,injection,100,9
injection_electrons,0,0.0,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.415262351080944,5.428391013297002,-47.880419807825405,-45.70876994272535,10.36987368721731,27.421398191565196,injection,100,10
injection_electrons,0,0.0,100031,100031,100031,100031,1.0,1.0,10.998516902872419,11.377053528533205,5.709232166329304,-49.81800734249185,-48.090890646917515,9.780125997441496,25.864448211770203,injection,100,11
injection_electrons,0,0.0,100031,100031,100031,100031,1.0,1.0,11.998382075860826,12.344960588453157,6.343895403771042,-48.611456810118966,-47.127076270273726,9.257888121194586,23.600128203710803,injection,100,12
