species,beam,sigma_mm,voltage_kv,timing,model_pct,virtual_ipm_pct,aligned_model_pct
H₂⁺,injection,25,25,as-run,15.62,16.73,
H₂⁺,injection,10,25,as-run,91.17,91.99,
H₂⁺,extraction,10,25,as-run,32.58,33.45,102.36
H₂⁺,injection,10,5,as-run,390.55,394.59,
H₂⁺,injection,10,10,as-run,225.89,228.78,
H₂⁺,injection,10,15,as-run,151.59,153.41,
H₂⁺,injection,10,20,as-run,113.76,115.09,
H₂⁺,injection,10,25,as-run,90.08,91.99,
H₂⁺,injection,10,30,as-run,74.59,76.57,
H₂O⁺,injection,25,25,as-run,10.07,10.37,
H₂O⁺,injection,10,25,as-run,64.38,64.69,
H₂O⁺,extraction,10,25,as-run,55.44,55.62,40.04
H₂O⁺,injection,10,5,as-run,225.95,226.61,
H₂O⁺,injection,10,10,as-run,124.79,126.09,
H₂O⁺,injection,10,15,as-run,94.2,94.38,
H₂O⁺,injection,10,20,as-run,75.55,76.55,
H₂O⁺,injection,10,25,as-run,63.6,64.69,
H₂O⁺,injection,10,30,as-run,56.31,56.12,
N₂⁺,injection,25,25,as-run,8.81,8.94,
N₂⁺,injection,10,25,as-run,55.09,56.27,
N₂⁺,extraction,10,25,as-run,50.21,49.9,39.38
N₂⁺,injection,10,5,as-run,219.72,221.02,
N₂⁺,injection,10,10,as-run,110.11,110.35,
N₂⁺,injection,10,15,as-run,79.87,80.86,
N₂⁺,injection,10,20,as-run,65.67,65.92,
N₂⁺,injection,10,25,as-run,56.53,56.27,
N₂⁺,injection,10,30,as-run,50.62,49.32,
