family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,mean_initial_mm,mean_sc_on_mm,mean_sc_off_mm,centroid_shift_vs_no_sc_mm,species,species_label,beam,dx_mm,dy_mm,power_kw
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,19.164032980973783,91.98885373563206,91.98885373563206,10.010209674958533,24.225669845188,0.0008979096310599358,0.004931867433083351,0.0008979096310599358,0.004033957802023415,ions,H₂⁺,injection,0,0,100
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,19.122859252188363,91.57636764768895,91.57636764768895,9.9671093015538,24.1142782140261,0.0008979096310599358,0.004727410217871898,0.0008979096310599358,0.0038295005868119623,ions,H₂⁺,injection,0,0,100
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,18.17292230124564,82.05972224670887,82.05972224670887,8.970522525702576,21.5410687533537,0.0008979096310599358,0.0038245873243634367,0.0008979096310599358,0.002926677693303501,ions,H₂⁺,injection,0,0,100
injection_ions,0,0.0,87346,99988,99988,99988,0.8735648277793335,1.0,9.851981149820224,9.98184665832871,51.92168505308405,420.1611167785406,427.0177060177536,52.41950724344971,136.4568098913304,0.023487720836306795,0.22875046334127216,0.0008979096310599358,0.22785255371021224,ions,H₂⁺,injection,0,0,500
injection_ions,200,0.02,87562,99988,99988,99988,0.8757250870104413,1.0,9.855882746944273,9.98184665832871,51.9429851210261,420.3745048285792,427.02519352851016,52.505351108963296,143.2275914512922,0.021555153903666534,0.22362881874707188,0.0008979096310599358,0.22273090911601195,ions,H₂⁺,injection,0,0,500
injection_ions,1000,0.1,92931,99988,99988,99988,0.92942153058367,1.0,9.959262215525184,9.98184665832871,52.08818432917127,421.82913755451887,423.01248026156617,52.592352581917055,142.2308428611069,0.025652947951817266,0.26736974484764864,0.0008979096310599358,0.2664718352165887,ions,H₂⁺,injection,0,0,500
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,9.981846658328717,9.981846658328717,19.164032980973783,91.98885373563192,91.98885373563192,10.010209674958528,24.225669845188,5.000897909631041,5.004931867433075,5.000897909631041,0.004033957802033861,ions,H₂⁺,injection,5,0,100
injection_ions,200,0.02,99988,99988,99988,99988,1.0,1.0,9.981846658328717,9.981846658328717,19.122859252188366,91.57636764768884,91.57636764768884,9.967109301553794,24.1142782140261,5.000897909631041,5.004727410217863,5.000897909631041,0.0038295005868222987,ions,H₂⁺,injection,5,0,100
injection_ions,1000,0.1,99988,99988,99988,99988,1.0,1.0,9.981846658328717,9.981846658328717,18.17292230124564,82.05972224670876,82.05972224670876,8.97052252570257,21.5410687533537,5.000897909631041,5.003824587324354,5.000897909631041,0.002926677693313451,ions,H₂⁺,injection,5,0,100
injection_ions,0,0.0,87346,99988,99988,99988,0.8735648277793335,1.0,9.849558727284233,9.981846658328717,51.99006781268385,420.84618800774746,427.84159424996693,52.55114554968938,151.06906660520963,4.795854993623223,3.0246079975885016,5.000897909631041,-1.9762899120425392,ions,H₂⁺,injection,5,0,500
