family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,species,species_label,beam,power_kw,sigma_x_mm
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,2.9945539974985853,2.9945539974985853,28.260701474379623,843.736579737296,843.736579737296,25.897000876702094,62.463246113658606,ions,H₂⁺,injection,100,3
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,3.9927386633314605,3.9927386633314605,23.716162096523757,493.9823288292921,493.9823288292921,20.406684487209684,48.80955820780619,ions,H₂⁺,injection,100,4
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,4.990923329164335,4.990923329164335,21.336587578219927,327.50782111879204,327.50782111879204,17.074689468767364,40.900071670847495,ions,H₂⁺,injection,100,5
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,5.989107994997211,5.989107994997211,20.033046631192946,234.49132404903773,234.49132404903773,14.809760155729242,35.46118057664,ions,H₂⁺,injection,100,6
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,6.987292660830085,6.987292660830085,19.345520124663416,176.86717966047217,176.86717966047217,13.151385173851054,31.583618834429902,ions,H₂⁺,injection,100,7
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,7.98547732666296,7.98547732666296,19.046494194961742,138.51416034163427,138.51416034163427,11.872791879787814,28.589824927406802,ions,H₂⁺,injection,100,8
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,8.983661992495835,8.983661992495835,19.011352888755937,111.62141790993871,111.62141790993871,10.850648916376436,26.1766704491452,ions,H₂⁺,injection,100,9
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,9.98184665832871,9.98184665832871,19.164032980973783,91.98885373563206,91.98885373563206,10.010209674958533,24.225669845188,ions,H₂⁺,injection,100,10
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,10.980031324161585,10.980031324161585,19.456781285248578,77.20150982114127,77.20150982114127,9.305056139624433,22.560291368187798,ions,H₂⁺,injection,100,11
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,11.97821598999446,11.97821598999446,19.855388888348838,65.76248837835507,65.76248837835507,8.701967568641178,21.108177655721498,ions,H₂⁺,injection,100,12
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,12.976400655827335,12.976400655827335,20.337799874288603,56.729130162573014,56.729130162573014,8.179925273835181,19.8935598648063,ions,H₂⁺,injection,100,13
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,13.974585321660209,13.974585321660209,20.886787749380552,49.4626657508515,49.4626657508515,7.722304232439923,18.8378022637145,ions,H₂⁺,injection,100,14
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,14.972769987493084,14.972769987493084,21.489983798536844,43.52710832055564,43.52710832055564,7.317320669769112,17.913292221443502,ions,H₂⁺,injection,100,15
injection_ions,0,0.0,99988,99988,99988,99988,1.0,1.0,15.970954653325961,15.970954653325961,22.13764373332402,38.61190025177261,38.61190025177261,6.955842188483086,17.092854469217006,ions,H₂⁺,injection,100,16
