check,beam,species,voltage_kv,dy_mm,tof_ns,ekin_ev,sim,pred
fineC_zero_spacing,,,10,,5.5080932124407305,,30.909859515814155,32.428524899255265
fineC_zero_spacing,,,12,,5.028178168824805,,34.31588163601769,35.5236691878801
fineC_zero_spacing,,,15,,4.497339275389072,,39.08113737097607,39.716669557157324
fineC_zero_spacing,,,18,,4.105490283140888,,42.90837903899614,43.50743165086757
fineC_zero_spacing,,,20,,3.8948100619244355,,45.67319848667565,45.860859720280395
fineC_zero_spacing,,,25,,3.4836240231652806,,51.68184908500193,51.273999920564485
blockB_sigma_v,injection,,,,,1.9790884927792487,2.906628852305619,nan
blockB_sigma_v,extraction,,,,,2.4598309327197088,3.2404819197255996,nan
ionB_exponent,injection,ions,,,,,-1.8421144309172872,-2.0
ionB_exponent,extraction,ions,,,,,-0.9122198551107269,-2.0
ionB_exponent,injection,h2o_ions,,,,,-1.979510203004933,-2.0
ionB_exponent,extraction,h2o_ions,,,,,-1.922502828763946,-2.0
ionB_exponent,injection,n2_ions,,,,,-2.0077892344911623,-2.0
ionB_exponent,extraction,n2_ions,,,,,-1.8704688287894213,-2.0
ionD_dy,injection,ions,,-5,,,89.18529863257699,88.93639543229992
ionD_dy,injection,ions,,5,,,94.74520700364573,94.99353424791663
ionD_dy,extraction,ions,,-5,,,31.997881745146085,32.18100096502672
ionD_dy,extraction,ions,,5,,,34.88737717094133,34.714511287802765
ionD_dy,injection,h2o_ions,,-5,,,62.88953271507929,62.42244671547201
ionD_dy,injection,h2o_ions,,5,,,66.45336550822007,66.92363304568558
ionD_dy,extraction,h2o_ions,,-5,,,54.007462878170685,53.625829665582316
ionD_dy,extraction,h2o_ions,,5,,,57.1931689650222,57.58091831053442
ionD_dy,injection,n2_ions,,-5,,,54.73333180555131,54.25702698635837
ionD_dy,injection,n2_ions,,5,,,57.77233154350707,58.251911560806406
ionD_dy,extraction,n2_ions,,-5,,,48.472557870756084,48.08912295511405
ionD_dy,extraction,n2_ions,,5,,,51.30071191381567,51.69067700534606
