mode,block,beam,energy_mev,sigma_t_ns,sigma_mm,dx_mm,dy_mm,voltage_kv,power_kw,b_gs,species,train,sc_on,reuse
e,E1,ramp,80,120.0,10,0,0,25,100,0,,3-bunch,True,True
e,E1,ramp,80,120.0,10,0,0,25,500,0,,3-bunch,True,True
e,E1,ramp,80,120.0,10,0,0,25,100,0,,3-bunch,False,True
e,E1,ramp,80,120.0,10,0,0,25,100,100,,3-bunch,True,True
e,E1,ramp,80,120.0,10,0,0,25,500,100,,3-bunch,True,True
e,E1,ramp,80,120.0,10,0,0,25,100,100,,3-bunch,False,True
e,E1,ramp,80,120.0,10,0,0,25,100,200,,3-bunch,True,True
e,E1,ramp,80,120.0,10,0,0,25,500,200,,3-bunch,True,True
e,E1,ramp,80,120.0,10,0,0,25,100,200,,3-bunch,False,True
e,E1,ramp,80,120.0,10,0,0,25,100,300,,3-bunch,True,True
e,E1,ramp,80,120.0,10,0,0,25,500,300,,3-bunch,True,True
e,E1,ramp,80,120.0,10,0,0,25,100,300,,3-bunch,False,True
e,E1,ramp,80,120.0,10,0,0,25,100,500,,3-bunch,True,False
e,E1,ramp,80,120.0,10,0,0,25,500,500,,3-bunch,True,False
e,E1,ramp,80,120.0,10,0,0,25,100,500,,3-bunch,False,False
e,E1,ramp,80,120.0,10,0,0,25,100,1000,,3-bunch,True,True
e,E1,ramp,80,120.0,10,0,0,25,500,1000,,3-bunch,True,True
e,E1,ramp,80,120.0,10,0,0,25,100,1000,,3-bunch,False,True
e,E1,ramp,80,20.0,10,0,0,25,100,0,,3-bunch,True,False
e,E1,ramp,80,20.0,10,0,0,25,500,0,,3-bunch,True,False
e,E1,ramp,80,20.0,10,0,0,25,100,0,,3-bunch,False,False
e,E1,ramp,80,20.0,10,0,0,25,100,100,,3-bunch,True,False
e,E1,ramp,80,20.0,10,0,0,25,500,100,,3-bunch,True,False
e,E1,ramp,80,20.0,10,0,0,25,100,100,,3-bunch,False,False
e,E1,ramp,80,20.0,10,0,0,25,100,200,,3-bunch,True,False
e,E1,ramp,80,20.0,10,0,0,25,500,200,,3-bunch,True,False
e,E1,ramp,80,20.0,10,0,0,25,100,200,,3-bunch,False,False
e,E1,ramp,80,20.0,10,0,0,25,100,300,,3-bunch,True,False
e,E1,ramp,80,20.0,10,0,0,25,500,300,,3-bunch,True,False
e,E1,ramp,80,20.0,10,0,0,25,100,300,,3-bunch,False,False
e,E1,ramp,80,20.0,10,0,0,25,100,500,,3-bunch,True,False
e,E1,ramp,80,20.0,10,0,0,25,500,500,,3-bunch,True,False
e,E1,ramp,80,20.0,10,0,0,25,100,500,,3-bunch,False,False
e,E1,ramp,80,20.0,10,0,0,25,100,1000,,3-bunch,True,False
e,E1,ramp,80,20.0,10,0,0,25,500,1000,,3-bunch,True,False
e,E1,ramp,80,20.0,10,0,0,25,100,1000,,3-bunch,False,False
e,E1,ramp,200,120.0,10,0,0,25,100,0,,3-bunch,True,False
e,E1,ramp,200,120.0,10,0,0,25,500,0,,3-bunch,True,False
e,E1,ramp,200,120.0,10,0,0,25,100,0,,3-bunch,False,False
e,E1,ramp,200,120.0,10,0,0,25,100,100,,3-bunch,True,False
e,E1,ramp,200,120.0,10,0,0,25,500,100,,3-bunch,True,False
e,E1,ramp,200,120.0,10,0,0,25,100,100,,3-bunch,False,False
e,E1,ramp,200,120.0,10,0,0,25,100,200,,3-bunch,True,False
e,E1,ramp,200,120.0,10,0,0,25,500,200,,3-bunch,True,False
e,E1,ramp,200,120.0,10,0,0,25,100,200,,3-bunch,False,False
e,E1,ramp,200,120.0,10,0,0,25,100,300,,3-bunch,True,False
e,E1,ramp,200,120.0,10,0,0,25,500,300,,3-bunch,True,False
e,E1,ramp,200,120.0,10,0,0,25,100,300,,3-bunch,False,False
e,E1,ramp,200,120.0,10,0,0,25,100,500,,3-bunch,True,False
e,E1,ramp,200,120.0,10,0,0,25,500,500,,3-bunch,True,False
e,E1,ramp,200,120.0,10,0,0,25,100,500,,3-bunch,False,False
e,E1,ramp,200,120.0,10,0,0,25,100,1000,,3-bunch,True,False
e,E1,ramp,200,120.0,10,0,0,25,500,1000,,3-bunch,True,False
