family,b_gs,b_t,n_sc_on,n_sc_off,n_all_on,n_all_off,detected_frac_on,detected_frac_off,sigma_initial_mm,sigma_sc_off_mm,sigma_sc_on_mm,expansion_vs_no_sc_pct,expansion_vs_initial_pct,rms_particle_dx_mm,max_abs_particle_dx_mm,block,beam,species,train,energy_mev,sigma_t_ns,sigma_mm,voltage_kv,power_kw,dx_mm,dy_mm
E1_ramp_e_10mm,500,0.05,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.000201434622403,9.998535232371305,-0.016661686886920712,-0.0011651322183947599,0.142337563469537,1.9772256060749,E1,ramp,,3-bunch,80.0,120.0,10.0,25,100,0,0
E1_ramp_e_10mm,500,0.05,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.000201434622403,10.007809224520551,0.07607636654007877,0.09158729480662764,0.24259516853258806,2.037208224534,E1,ramp,,3-bunch,80.0,120.0,10.0,25,500,0,0
E1_ramp_e_10mm,0,0.0,100011,100011,100011,100011,1.0,1.0,9.976976528033545,10.399461369675844,18.436910771277255,77.287170132081,84.79456897059731,25.760666082573067,115.6390198146685,E1,ramp,,3-bunch,80.0,20.0,10.0,25,100,0,0
E1_ramp_e_10mm,0,0.0,100011,100011,100011,100011,1.0,1.0,9.976976528033545,10.399461369675844,16.667892102259124,60.2764942313418,67.06355934009956,20.115264282314232,134.70854391436518,E1,ramp,,3-bunch,80.0,20.0,10.0,25,500,0,0
E1_ramp_e_10mm,100,0.01,100011,100011,100011,100011,1.0,1.0,9.976976528033545,9.978261519958489,10.29664068629244,3.1907278206442014,3.2040183452441306,3.310764178878435,16.3898264448067,E1,ramp,,3-bunch,80.0,20.0,10.0,25,100,0,0
E1_ramp_e_10mm,100,0.01,100011,100011,100011,100011,1.0,1.0,9.976976528033545,9.978261519958489,11.991203189988088,20.17327032372642,20.188748127199887,6.655086907134096,32.260342464001596,E1,ramp,,3-bunch,80.0,20.0,10.0,25,500,0,0
E1_ramp_e_10mm,200,0.02,100011,100011,100011,100011,1.0,1.0,9.976976528033545,9.97841091054378,9.991052792725444,0.12669233904074595,0.14108747928140986,0.887164577324966,5.4762609021827995,E1,ramp,,3-bunch,80.0,20.0,10.0,25,100,0,0
E1_ramp_e_10mm,200,0.02,100011,100011,100011,100011,1.0,1.0,9.976976528033545,9.97841091054378,10.503673572764134,5.263991099678322,5.279124825548731,3.2682968051214596,18.5965655693017,E1,ramp,,3-bunch,80.0,20.0,10.0,25,500,0,0
E1_ramp_e_10mm,300,0.030000000000000002,100011,100011,100011,100011,1.0,1.0,9.976976528033545,9.978441945800695,9.95872256736475,-0.19761981422603547,-0.18296084607900553,0.4487514766108988,2.997702438585701,E1,ramp,,3-bunch,80.0,20.0,10.0,25,100,0,0
E1_ramp_e_10mm,300,0.030000000000000002,100011,100011,100011,100011,1.0,1.0,9.976976528033545,9.978441945800695,10.161869099102967,1.8382344087241487,1.853192403028192,2.031762852619955,12.996246099418801,E1,ramp,,3-bunch,80.0,20.0,10.0,25,500,0,0
E1_ramp_e_10mm,500,0.05,100011,100011,100011,100011,1.0,1.0,9.976976528033545,9.978130244863236,9.972976958781713,-0.05164580893475268,-0.04008798898738064,0.23151798643972105,1.6495068797293015,E1,ramp,,3-bunch,80.0,20.0,10.0,25,100,0,0
E1_ramp_e_10mm,500,0.05,100011,100011,100011,100011,1.0,1.0,9.976976528033545,9.978130244863236,9.999286086921288,0.2120221077384965,0.22361041769576318,0.6943573391721841,6.389025671958301,E1,ramp,,3-bunch,80.0,20.0,10.0,25,500,0,0
E1_ramp_e_10mm,1000,0.1,100011,100011,100011,100011,1.0,1.0,9.976976528033545,9.977250637134341,9.97629040258921,-0.009624239984085126,-0.00687708788735808,0.10420717962765416,0.7371069067657006,E1,ramp,,3-bunch,80.0,20.0,10.0,25,100,0,0
E1_ramp_e_10mm,1000,0.1,100011,100011,100011,100011,1.0,1.0,9.976976528033545,9.977250637134341,9.978224552939905,0.009761364538030115,0.012509049238040859,0.19399596698191854,1.0742290020643992,E1,ramp,,3-bunch,80.0,20.0,10.0,25,500,0,0
E1_ramp_e_10mm,0,0.0,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.460571621543814,5.69114204437396,-45.59434942682379,-43.08090532482246,7.237331481573331,19.0606720731262,E1,ramp,,3-bunch,200.0,120.0,10.0,25,100,0,0
E1_ramp_e_10mm,0,0.0,100031,100031,100031,100031,1.0,1.0,9.998651729884015,10.460571621543814,18.28269178497618,74.77717706480314,82.85157118067016,27.36180265970485,84.0927251016951,E1,ramp,,3-bunch,200.0,120.0,10.0,25,500,0,0
